Tempo, ymx
8.92, -0.5802
8.93, -0.5810
8.94, -0.5817
8.95, -0.5825
8.96, -0.5832
8.97, -0.5839
8.98, -0.5846
8.99, -0.5852
9.00, -0.5859
9.01, -0.5865
9.02, -0.5871
9.03, -0.5878
9.04, -0.5883
9.05, -0.5889
9.06, -0.5895
9.07, -0.5900
9.08, -0.5906
9.09, -0.5911
9.10, -0.5916
9.11, -0.5921
9.12, -0.5926
9.13, -0.5930
9.14, -0.5935
9.15, -0.5939
9.16, -0.5943
9.17, -0.5947
9.18, -0.5951
9.19, -0.5955
9.20, -0.5959
9.21, -0.5962
9.22, -0.5965
9.23, -0.5969
9.24, -0.5972
9.25, -0.5974
9.26, -0.5977
9.27, -0.5980
9.28, -0.5982
9.29, -0.5984
9.30, -0.5986
9.31, -0.5988
9.32, -0.5990
9.33, -0.5992
9.34, -0.5993
9.35, -0.5995
9.36, -0.5996
9.37, -0.5997
9.38, -0.5998
9.39, -0.5998
9.40, -0.5999
9.41, -0.6000
9.42, -0.6000
9.43, -0.6000
9.44, -0.6000
9.45, -0.6000
9.46, -0.6000
9.47, -0.5999
9.48, -0.5998
9.49, -0.5998
9.50, -0.5997
9.51, -0.5996
9.52, -0.5995
9.53, -0.5993
9.54, -0.5992
9.55, -0.5990
9.56, -0.5988
9.57, -0.5986
9.58, -0.5984
9.59, -0.5982
9.60, -0.5980
9.61, -0.5977
9.62, -0.5974
9.63, -0.5971
9.64, -0.5968
9.65, -0.5965
9.66, -0.5962
9.67, -0.5959
9.68, -0.5955
9.69, -0.5951
9.70, -0.5947
9.71, -0.5943
9.72, -0.5939
9.73, -0.5935
9.74, -0.5930
9.75, -0.5926
9.76, -0.5921
9.77, -0.5916
9.78, -0.5911
9.79, -0.5906
9.80, -0.5900
9.81, -0.5895
9.82, -0.5889
9.83, -0.5883
9.84, -0.5877
9.85, -0.5871
9.86, -0.5865
9.87, -0.5858
9.88, -0.5852
9.89, -0.5845
9.90, -0.5838
9.91, -0.5831
9.92, -0.5824
9.93, -0.5817
9.94, -0.5810
9.95, -0.5802
9.96, -0.5794
9.97, -0.5786
9.98, -0.5778
9.99, -0.5770
10.00, -0.5762
10.01, -0.5754
10.02, -0.5745
10.03, -0.5736
10.04, -0.5727
10.05, -0.5718
10.06, -0.5709
10.07, -0.5700
10.08, -0.5690
10.09, -0.5681
10.10, -0.5671
10.11, -0.5661
10.12, -0.5651
10.13, -0.5641
10.14, -0.5631
10.15, -0.5620
10.16, -0.5610
10.17, -0.5599
10.18, -0.5588
10.19, -0.5577
10.20, -0.5566
10.21, -0.5555
10.22, -0.5543
10.23, -0.5532
10.24, -0.5520
10.25, -0.5508
10.26, -0.5496
10.27, -0.5484
10.28, -0.5472
10.29, -0.5460
10.30, -0.5447
10.31, -0.5435
10.32, -0.5422
10.33, -0.5409
10.34, -0.5396
10.35, -0.5383
10.36, -0.5369
10.37, -0.5356
10.38, -0.5342
10.39, -0.5329
10.40, -0.5315
10.41, -0.5301
10.42, -0.5287
10.43, -0.5272
10.44, -0.5258
10.45, -0.5243
10.46, -0.5229
10.47, -0.5214
10.48, -0.5199
10.49, -0.5184
10.50, -0.5169
10.51, -0.5154
10.52, -0.5138
10.53, -0.5123
10.54, -0.5107
10.55, -0.5091
10.56, -0.5075
10.57, -0.5059
10.58, -0.5043
10.59, -0.5027
10.60, -0.5010
10.61, -0.4994
10.62, -0.4977
10.63, -0.4960
10.64, -0.4943
10.65, -0.4926
10.66, -0.4909
10.67, -0.4892
10.68, -0.4874
10.69, -0.4857
