Tempo, Xref, Yref
8.22, -0.8240, 0.2179
8.23, -0.8268, 0.2237
8.24, -0.8296, 0.2295
8.25, -0.8324, 0.2354
8.26, -0.8352, 0.2412
8.27, -0.8379, 0.2470
8.28, -0.8406, 0.2528
8.29, -0.8433, 0.2586
8.30, -0.8460, 0.2644
8.31, -0.8486, 0.2702
8.32, -0.8513, 0.2760
8.33, -0.8539, 0.2817
8.34, -0.8565, 0.2875
8.35, -0.8590, 0.2932
8.36, -0.8616, 0.2990
8.37, -0.8641, 0.3047
8.38, -0.8666, 0.3104
8.39, -0.8691, 0.3161
8.40, -0.8716, 0.3218
8.41, -0.8740, 0.3275
8.42, -0.8764, 0.3331
8.43, -0.8788, 0.3388
8.44, -0.8812, 0.3444
8.45, -0.8836, 0.3500
8.46, -0.8859, 0.3557
8.47, -0.8882, 0.3613
8.48, -0.8905, 0.3668
8.49, -0.8927, 0.3724
8.50, -0.8950, 0.3780
8.51, -0.8972, 0.3835
8.52, -0.8994, 0.3891
8.53, -0.9016, 0.3946
8.54, -0.9037, 0.4001
8.55, -0.9059, 0.4056
8.56, -0.9080, 0.4111
8.57, -0.9101, 0.4165
8.58, -0.9121, 0.4220
8.59, -0.9142, 0.4274
8.60, -0.9162, 0.4328
8.61, -0.9182, 0.4382
8.62, -0.9201, 0.4436
8.63, -0.9221, 0.4490
8.64, -0.9240, 0.4543
8.65, -0.9259, 0.4597
8.66, -0.9278, 0.4650
8.67, -0.9296, 0.4703
8.68, -0.9315, 0.4756
8.69, -0.9333, 0.4808
